datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/8/2017 5:00:00 AM,10/8/2017 1:00:00 AM,10/8/2017 6:00:00 AM,10/8/2017 2:00:00 AM,DAY,1512.2
10/8/2017 6:00:00 AM,10/8/2017 2:00:00 AM,10/8/2017 7:00:00 AM,10/8/2017 3:00:00 AM,DAY,1440.1
10/8/2017 7:00:00 AM,10/8/2017 3:00:00 AM,10/8/2017 8:00:00 AM,10/8/2017 4:00:00 AM,DAY,1392.4
10/8/2017 8:00:00 AM,10/8/2017 4:00:00 AM,10/8/2017 9:00:00 AM,10/8/2017 5:00:00 AM,DAY,1361.8
10/8/2017 9:00:00 AM,10/8/2017 5:00:00 AM,10/8/2017 10:00:00 AM,10/8/2017 6:00:00 AM,DAY,1363.7
10/8/2017 10:00:00 AM,10/8/2017 6:00:00 AM,10/8/2017 11:00:00 AM,10/8/2017 7:00:00 AM,DAY,1398.5
10/8/2017 11:00:00 AM,10/8/2017 7:00:00 AM,10/8/2017 12:00:00 PM,10/8/2017 8:00:00 AM,DAY,1445.1
10/8/2017 12:00:00 PM,10/8/2017 8:00:00 AM,10/8/2017 1:00:00 PM,10/8/2017 9:00:00 AM,DAY,1495.9
10/8/2017 1:00:00 PM,10/8/2017 9:00:00 AM,10/8/2017 2:00:00 PM,10/8/2017 10:00:00 AM,DAY,1587.7
10/8/2017 2:00:00 PM,10/8/2017 10:00:00 AM,10/8/2017 3:00:00 PM,10/8/2017 11:00:00 AM,DAY,1651.0
10/8/2017 3:00:00 PM,10/8/2017 11:00:00 AM,10/8/2017 4:00:00 PM,10/8/2017 12:00:00 PM,DAY,1684.0
10/8/2017 4:00:00 PM,10/8/2017 12:00:00 PM,10/8/2017 5:00:00 PM,10/8/2017 1:00:00 PM,DAY,1718.5
10/8/2017 5:00:00 PM,10/8/2017 1:00:00 PM,10/8/2017 6:00:00 PM,10/8/2017 2:00:00 PM,DAY,1728.7
10/8/2017 6:00:00 PM,10/8/2017 2:00:00 PM,10/8/2017 7:00:00 PM,10/8/2017 3:00:00 PM,DAY,1725.4
10/8/2017 7:00:00 PM,10/8/2017 3:00:00 PM,10/8/2017 8:00:00 PM,10/8/2017 4:00:00 PM,DAY,1736.9
10/8/2017 8:00:00 PM,10/8/2017 4:00:00 PM,10/8/2017 9:00:00 PM,10/8/2017 5:00:00 PM,DAY,1763.9
10/8/2017 9:00:00 PM,10/8/2017 5:00:00 PM,10/8/2017 10:00:00 PM,10/8/2017 6:00:00 PM,DAY,1795.4
