datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/4/2018 10:00:00 AM,7/4/2018 6:00:00 AM,RFC,WEST,AEP,AEPOPT,5611.785,True
7/4/2018 11:00:00 AM,7/4/2018 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4008.217,True
7/4/2018 11:00:00 AM,7/4/2018 7:00:00 AM,RFC,WEST,AEP,AEPIMP,2838.483,True
7/4/2018 11:00:00 AM,7/4/2018 7:00:00 AM,RFC,WEST,AEP,AEPKPT,616.064,True
7/4/2018 11:00:00 AM,7/4/2018 7:00:00 AM,RFC,WEST,AEP,AEPOPT,5901.134,True
7/4/2018 12:00:00 PM,7/4/2018 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4350.922,True
7/4/2018 12:00:00 PM,7/4/2018 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3065.589,True
7/4/2018 12:00:00 PM,7/4/2018 8:00:00 AM,RFC,WEST,AEP,AEPKPT,654.198,True
7/4/2018 12:00:00 PM,7/4/2018 8:00:00 AM,RFC,WEST,AEP,AEPOPT,6550.774,True
7/4/2018 1:00:00 PM,7/4/2018 9:00:00 AM,RFC,WEST,AEP,AEPAPT,4825.250,True
7/4/2018 1:00:00 PM,7/4/2018 9:00:00 AM,RFC,WEST,AEP,AEPIMP,3341.922,True
7/4/2018 1:00:00 PM,7/4/2018 9:00:00 AM,RFC,WEST,AEP,AEPKPT,732.310,True
7/4/2018 1:00:00 PM,7/4/2018 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7389.645,True
7/4/2018 2:00:00 PM,7/4/2018 10:00:00 AM,RFC,WEST,AEP,AEPAPT,5260.886,True
7/4/2018 2:00:00 PM,7/4/2018 10:00:00 AM,RFC,WEST,AEP,AEPIMP,3610.737,True
7/4/2018 2:00:00 PM,7/4/2018 10:00:00 AM,RFC,WEST,AEP,AEPKPT,815.056,True
7/4/2018 2:00:00 PM,7/4/2018 10:00:00 AM,RFC,WEST,AEP,AEPOPT,8158.773,True
7/4/2018 3:00:00 PM,7/4/2018 11:00:00 AM,RFC,WEST,AEP,AEPAPT,5596.636,True
